Python,Cython
1.27148,0.000004
1.28598,0.000006
1.27028,0.000005
1.26069,0.000007
1.24129,0.000005
1.24143,0.000005
1.24856,0.000004
1.22278,0.000006
1.22623,0.000005
1.24450,0.000005
1.26207,0.000005
1.23270,0.000005
1.24355,0.000006
1.23857,0.000005
1.26668,0.000004
1.25912,0.000017
1.22518,0.000005
1.28703,0.000005
1.23367,0.000005
1.25805,0.000005
1.26294,0.000005
1.23385,0.000005
1.23163,0.000005
1.25359,0.000005
1.24077,0.000006
1.29909,0.000005
1.24151,0.000006
1.25640,0.000005
1.24701,0.000007
1.27415,0.000005
